state,loss_ha,extent_2000_ha,loss_pct_2000,state_alt,state_lower,state_alt_lower
Johor,19268,1593778,1.209,Johor,johor,johor
Kedah,6900,676020,1.021,Kedah,kedah,kedah
Kelantan,19725,1344069,1.468,Kelantan,kelantan,kelantan
Kuala Lumpur,15,4827,0.311,Kuala Lumpur,kuala lumpur,kuala lumpur
Labuan,19,4323,0.44,Labuan,labuan,labuan
Melaka,2103,112675,1.866,Malacca,melaka,malacca
Negeri Sembilan,5846,559821,1.044,Negeri Sembilan,negeri sembilan,negeri sembilan
Pahang,38448,3295418,1.167,Pahang,pahang,pahang
Perak,14915,1766052,0.845,Perak,perak,perak
Perlis,267,27366,0.976,Perlis,perlis,perlis
Pulau Pinang,385,46680,0.825,Penang,pulau pinang,penang
Putrajaya,18,1583,1.137,Putrajaya,putrajaya,putrajaya
Sabah,75672,6698363,1.13,Sabah,sabah,sabah
Sarawak,79341,11643008,0.681,Sarawak,sarawak,sarawak
Selangor,4768,564554,0.845,Selangor,selangor,selangor
Trengganu,14841,1106233,1.342,Terengganu,trengganu,terengganu
